dataset,iteration,model,type,sol_name,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
fpes,22,svm,Baseline,Baseline,-0.124,0.0,0.0,-0.124,0.0,0.0,1.0,1.0,1.0,1.0,0.002559,1.4189453125
fpes,22,xgb,Baseline,Baseline,-0.124,0.0,0.0,-0.124,0.0,0.0,1.0,1.0,1.0,1.0,0.039431,73.173828125
fpes,23,lr,Baseline,Baseline,-0.238,-0.152,-0.076,-0.238,-0.152,-0.076,0.889,0.886,0.913,0.882,0.00361,1.5400390625
fpes,23,rf,Baseline,Baseline,-0.226,0.0,0.0,-0.226,0.0,0.0,1.0,1.0,1.0,1.0,0.048492,141.576171875
fpes,23,svm,Baseline,Baseline,-0.232,-0.076,-0.038,-0.232,-0.076,-0.038,0.944,0.944,0.952,0.941,0.001569,1.4189453125
fpes,23,xgb,Baseline,Baseline,-0.173,0.091,0.045,-0.173,0.091,0.045,0.972,0.972,0.975,0.971,0.024132,73.173828125
fpes,24,lr,Baseline,Baseline,-0.467,-0.25,-0.307,-0.467,-0.25,-0.307,0.861,0.858,0.856,0.873,0.003633,1.5400390625
fpes,24,rf,Baseline,Baseline,-0.257,0.0,-0.045,-0.257,0.0,-0.045,0.972,0.971,0.967,0.977,0.041423,142.328125
fpes,24,svm,Baseline,Baseline,-0.21,0.1,0.005,-0.21,0.1,0.005,0.944,0.942,0.942,0.942,0.001548,1.4189453125
fpes,24,xgb,Baseline,Baseline,-0.21,0.0,0.0,-0.21,0.0,0.0,1.0,1.0,1.0,1.0,0.033521,73.171875
fpes,25,lr,Baseline,Baseline,-0.418,0.062,0.031,-0.418,0.062,0.031,0.972,0.972,0.974,0.972,0.003434,1.5400390625
fpes,25,rf,Baseline,Baseline,-0.458,0.0,0.0,-0.458,0.0,0.0,1.0,1.0,1.0,1.0,0.04114,146.40234375
fpes,25,svm,Baseline,Baseline,-0.418,0.062,0.031,-0.418,0.062,0.031,0.972,0.972,0.974,0.972,0.001863,1.4189453125
fpes,25,xgb,Baseline,Baseline,-0.458,0.0,0.0,-0.458,0.0,0.0,1.0,1.0,1.0,1.0,0.031195,73.173828125
fpes,26,lr,Baseline,Baseline,-0.377,0.083,-0.058,-0.377,0.083,-0.058,0.917,0.915,0.912,0.919,0.003403,1.5400390625
fpes,26,rf,Baseline,Baseline,-0.286,0.083,0.042,-0.286,0.083,0.042,0.972,0.971,0.977,0.967,0.049513,144.2236328125
fpes,26,svm,Baseline,Baseline,-0.422,0.083,-0.108,-0.422,0.083,-0.108,0.889,0.887,0.885,0.895,0.001586,1.4189453125
fpes,26,xgb,Baseline,Baseline,-0.286,0.083,0.042,-0.286,0.083,0.042,0.972,0.971,0.977,0.967,0.040516,73.158203125
fpes,27,lr,Baseline,Baseline,-0.368,-0.423,-0.212,-0.368,-0.423,-0.212,0.917,0.915,0.932,0.912,0.003477,1.5400390625
fpes,27,rf,Baseline,Baseline,-0.258,0.0,0.0,-0.258,0.0,0.0,1.0,1.0,1.0,1.0,0.052466,134.9697265625
fpes,27,svm,Baseline,Baseline,-0.291,-0.173,-0.087,-0.291,-0.173,-0.087,0.944,0.944,0.952,0.941,0.001875,1.4189453125
fpes,27,xgb,Baseline,Baseline,-0.258,0.0,0.0,-0.258,0.0,0.0,1.0,1.0,1.0,1.0,0.034339,73.173828125
fpes,28,lr,Baseline,Baseline,-0.257,0.0,0.0,-0.257,0.0,0.0,1.0,1.0,1.0,1.0,0.003376,1.5400390625
fpes,28,rf,Baseline,Baseline,-0.257,0.0,0.0,-0.257,0.0,0.0,1.0,1.0,1.0,1.0,0.047067,145.771484375
fpes,28,svm,Baseline,Baseline,-0.257,0.0,0.0,-0.257,0.0,0.0,1.0,1.0,1.0,1.0,0.00146,1.4189453125
fpes,28,xgb,Baseline,Baseline,-0.21,0.091,0.045,-0.21,0.091,0.045,0.972,0.971,0.977,0.967,0.025286,73.158203125
fpes,29,lr,Baseline,Baseline,-0.611,-0.333,-0.25,-0.611,-0.333,-0.25,0.944,0.943,0.943,0.943,0.003608,1.5400390625
fpes,29,rf,Baseline,Baseline,-0.5,0.0,0.0,-0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.049664,144.5244140625
fpes,29,svm,Baseline,Baseline,-0.556,-0.333,-0.167,-0.556,-0.333,-0.167,0.972,0.971,0.977,0.967,0.002881,1.4189453125
fpes,29,xgb,Baseline,Baseline,-0.5,0.0,0.0,-0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.024547,73.158203125
fpes,30,lr,Baseline,Baseline,-0.275,-0.25,-0.125,-0.275,-0.25,-0.125,0.944,0.944,0.941,0.952,0.00345,1.5400390625
fpes,30,rf,Baseline,Baseline,-0.15,0.0,0.0,-0.15,0.0,0.0,1.0,1.0,1.0,1.0,0.055433,130.4296875
fpes,30,svm,Baseline,Baseline,-0.1,0.077,0.038,-0.1,0.077,0.038,0.972,0.972,0.969,0.976,0.00284,1.4189453125
fpes,30,xgb,Baseline,Baseline,-0.15,0.0,0.0,-0.15,0.0,0.0,1.0,1.0,1.0,1.0,0.024479,73.173828125
