dataset,iteration,model,type,sol_name,age_mean_diff,age_eq_opp_diff,age_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
bank-full,17,rf,Baseline,Baseline,0.088,0.022,0.023,0.088,0.022,0.023,0.905,0.728,0.804,0.689,1.862012,49434.41796875
bank-full,17,svm,Baseline,Baseline,0.091,0.054,0.048,0.091,0.054,0.048,0.897,0.676,0.794,0.636,0.093055,3.455078125
bank-full,17,xgb,Baseline,Baseline,0.132,0.085,0.066,0.132,0.085,0.066,0.905,0.748,0.787,0.722,0.187962,325.1005859375
bank-full,18,lr,Baseline,Baseline,0.129,0.164,0.118,0.129,0.164,0.118,0.9,0.7,0.785,0.662,0.023658,3.576171875
bank-full,18,rf,Baseline,Baseline,0.116,0.137,0.097,0.116,0.137,0.097,0.902,0.718,0.786,0.683,1.871612,49447.54296875
bank-full,18,svm,Baseline,Baseline,0.096,0.139,0.09,0.096,0.139,0.09,0.897,0.68,0.784,0.642,0.099224,3.455078125
bank-full,18,xgb,Baseline,Baseline,0.146,0.148,0.114,0.146,0.148,0.114,0.905,0.75,0.785,0.725,0.190685,341.7041015625
bank-full,19,lr,Baseline,Baseline,0.079,0.008,0.027,0.079,0.008,0.027,0.907,0.71,0.788,0.672,0.023399,3.576171875
bank-full,19,rf,Baseline,Baseline,0.086,-0.009,0.023,0.086,-0.009,0.023,0.906,0.719,0.776,0.686,1.856599,50203.16796875
bank-full,19,svm,Baseline,Baseline,0.055,-0.013,0.008,0.055,-0.013,0.008,0.906,0.689,0.794,0.648,0.093223,3.455078125
bank-full,19,xgb,Baseline,Baseline,0.142,0.057,0.076,0.142,0.057,0.076,0.907,0.748,0.772,0.729,0.189496,332.26953125
bank-full,20,lr,Baseline,Baseline,0.105,0.045,0.045,0.105,0.045,0.045,0.905,0.707,0.783,0.67,0.022967,3.576171875
bank-full,20,rf,Baseline,Baseline,0.128,0.084,0.066,0.128,0.084,0.066,0.909,0.729,0.793,0.693,1.865191,50138.01171875
bank-full,20,svm,Baseline,Baseline,0.077,0.032,0.026,0.077,0.032,0.026,0.904,0.69,0.788,0.65,0.093539,3.455078125
bank-full,20,xgb,Baseline,Baseline,0.189,0.113,0.107,0.189,0.113,0.107,0.91,0.756,0.782,0.737,0.188134,331.40625
bank-full,21,lr,Baseline,Baseline,0.129,0.187,0.128,0.129,0.187,0.128,0.905,0.706,0.791,0.667,0.02324,3.576171875
bank-full,21,rf,Baseline,Baseline,0.132,0.158,0.115,0.132,0.158,0.115,0.911,0.736,0.804,0.698,1.866195,50409.10546875
bank-full,21,svm,Baseline,Baseline,0.105,0.13,0.094,0.105,0.13,0.094,0.905,0.692,0.801,0.65,0.090722,3.455078125
bank-full,21,xgb,Baseline,Baseline,0.179,0.136,0.132,0.179,0.136,0.132,0.911,0.761,0.789,0.74,0.183759,328.6826171875
bank-full,22,lr,Baseline,Baseline,0.107,0.134,0.084,0.107,0.134,0.084,0.903,0.699,0.783,0.661,0.021449,3.576171875
bank-full,22,rf,Baseline,Baseline,0.122,0.127,0.088,0.122,0.127,0.088,0.906,0.717,0.788,0.68,1.897539,50484.88671875
bank-full,22,svm,Baseline,Baseline,0.103,0.126,0.082,0.103,0.126,0.082,0.903,0.683,0.791,0.643,0.085973,3.455078125
bank-full,22,xgb,Baseline,Baseline,0.166,0.167,0.123,0.166,0.167,0.123,0.906,0.744,0.776,0.72,0.183642,320.849609375
bank-full,23,lr,Baseline,Baseline,0.118,0.111,0.088,0.118,0.111,0.088,0.9,0.694,0.776,0.658,0.022618,3.576171875
bank-full,23,rf,Baseline,Baseline,0.093,0.019,0.036,0.093,0.019,0.036,0.905,0.721,0.793,0.684,1.854956,49968.16796875
bank-full,23,svm,Baseline,Baseline,0.093,0.104,0.073,0.093,0.104,0.073,0.899,0.677,0.785,0.638,0.080435,3.455078125
bank-full,23,xgb,Baseline,Baseline,0.142,0.105,0.091,0.142,0.105,0.091,0.907,0.748,0.783,0.724,0.192197,327.294921875
bank-full,24,lr,Baseline,Baseline,0.118,0.153,0.098,0.118,0.153,0.098,0.903,0.706,0.787,0.668,0.022877,3.576171875
bank-full,24,rf,Baseline,Baseline,0.102,0.08,0.057,0.102,0.08,0.057,0.908,0.732,0.8,0.694,1.858449,50104.57421875
bank-full,24,svm,Baseline,Baseline,0.085,0.067,0.051,0.085,0.067,0.051,0.901,0.687,0.788,0.648,0.082543,3.455078125
bank-full,24,xgb,Baseline,Baseline,0.117,0.041,0.045,0.117,0.041,0.045,0.909,0.763,0.785,0.745,0.187666,323.962890625
bank-full,25,lr,Baseline,Baseline,0.132,0.163,0.104,0.132,0.163,0.104,0.906,0.71,0.793,0.671,0.022813,3.576171875
bank-full,25,rf,Baseline,Baseline,0.122,0.169,0.093,0.122,0.169,0.093,0.909,0.731,0.792,0.696,1.880117,50023.32421875
bank-full,25,svm,Baseline,Baseline,0.113,0.135,0.087,0.113,0.135,0.087,0.905,0.692,0.801,0.65,0.088504,3.455078125
bank-full,25,xgb,Baseline,Baseline,0.115,0.061,0.047,0.115,0.061,0.047,0.907,0.748,0.775,0.727,0.184395,332.8671875
bank-full,26,lr,Baseline,Baseline,0.098,0.023,0.043,0.098,0.023,0.043,0.901,0.696,0.777,0.659,0.023333,3.576171875
bank-full,26,rf,Baseline,Baseline,0.116,0.06,0.064,0.116,0.06,0.064,0.905,0.712,0.788,0.675,1.868276,49629.88671875
bank-full,26,svm,Baseline,Baseline,0.075,-0.046,0.007,0.075,-0.046,0.007,0.9,0.683,0.782,0.644,0.085759,3.455078125
bank-full,26,xgb,Baseline,Baseline,0.151,0.071,0.081,0.151,0.071,0.081,0.907,0.746,0.781,0.722,0.17794,325.8955078125
bank-full,27,lr,Baseline,Baseline,0.107,0.049,0.066,0.107,0.049,0.066,0.9,0.704,0.781,0.667,0.023441,3.576171875
