dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
mep,12,xgb,Baseline,Baseline,-0.069,-0.071,-0.052,-0.057,-0.061,-0.045,-0.13,-0.17,-0.117,0.86,0.725,0.763,0.702,0.152331,353.4443359375
mep,13,lr,Baseline,Baseline,-0.06,-0.059,-0.042,-0.026,-0.07,-0.036,-0.086,-0.165,-0.097,0.863,0.707,0.785,0.674,0.022447,2.888671875
mep,13,rf,Baseline,Baseline,-0.036,0.021,0.006,-0.025,-0.064,-0.033,-0.062,-0.084,-0.049,0.865,0.714,0.785,0.682,0.728615,25386.2109375
mep,13,svm,Baseline,Baseline,-0.041,-0.015,-0.015,-0.019,-0.026,-0.015,-0.059,-0.08,-0.048,0.859,0.69,0.777,0.657,0.065027,2.767578125
mep,13,xgb,Baseline,Baseline,-0.047,-0.011,-0.013,-0.04,-0.102,-0.056,-0.086,-0.148,-0.087,0.857,0.72,0.755,0.698,0.148679,338.2353515625
mep,14,lr,Baseline,Baseline,-0.062,-0.082,-0.059,-0.043,-0.097,-0.059,-0.106,-0.209,-0.132,0.856,0.688,0.771,0.657,0.022251,2.888671875
mep,14,rf,Baseline,Baseline,-0.038,-0.039,-0.027,-0.04,-0.078,-0.049,-0.081,-0.145,-0.091,0.853,0.684,0.761,0.654,0.717132,25256.9921875
mep,14,svm,Baseline,Baseline,-0.05,-0.057,-0.041,-0.036,-0.086,-0.05,-0.087,-0.171,-0.106,0.856,0.683,0.775,0.65,0.063386,2.767578125
mep,14,xgb,Baseline,Baseline,-0.058,-0.075,-0.052,-0.048,-0.101,-0.062,-0.101,-0.172,-0.111,0.852,0.698,0.748,0.672,0.157052,346.798828125
mep,15,lr,Baseline,Baseline,-0.058,-0.052,-0.04,-0.041,-0.089,-0.054,-0.103,-0.212,-0.129,0.868,0.71,0.777,0.679,0.023285,2.888671875
mep,15,rf,Baseline,Baseline,-0.038,0.019,0.001,-0.035,-0.051,-0.035,-0.075,-0.082,-0.058,0.865,0.707,0.768,0.677,0.73483,25633.3984375
mep,15,svm,Baseline,Baseline,-0.048,-0.035,-0.028,-0.029,-0.042,-0.028,-0.081,-0.13,-0.082,0.868,0.704,0.785,0.67,0.06632,2.767578125
mep,15,xgb,Baseline,Baseline,-0.061,-0.037,-0.035,-0.041,-0.068,-0.045,-0.105,-0.14,-0.097,0.855,0.706,0.736,0.687,0.15242,339.03515625
