dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
adult,17,lr,Baseline,Baseline,-0.181,-0.072,-0.077,-0.099,-0.072,-0.061,-0.235,-0.206,-0.154,0.846,0.78,0.801,0.765,0.047556,6.7080078125
adult,17,rf,Baseline,Baseline,-0.181,-0.052,-0.064,-0.09,-0.012,-0.03,-0.234,-0.173,-0.134,0.857,0.798,0.816,0.784,1.195597,59110.2421875
adult,17,svm,Baseline,Baseline,-0.174,-0.066,-0.071,-0.096,-0.074,-0.06,-0.227,-0.197,-0.146,0.846,0.779,0.801,0.763,0.223627,6.5869140625
adult,17,xgb,Baseline,Baseline,-0.182,-0.04,-0.056,-0.095,-0.05,-0.046,-0.235,-0.2,-0.142,0.868,0.814,0.832,0.799,0.17904,257.6796875
adult,18,lr,Baseline,Baseline,-0.18,-0.079,-0.078,-0.098,-0.068,-0.054,-0.221,-0.096,-0.093,0.842,0.776,0.801,0.759,0.04447,6.7080078125
adult,18,rf,Baseline,Baseline,-0.189,-0.078,-0.08,-0.101,-0.045,-0.046,-0.231,-0.065,-0.081,0.845,0.784,0.803,0.77,1.184356,57994.3046875
adult,18,svm,Baseline,Baseline,-0.173,-0.061,-0.066,-0.099,-0.073,-0.057,-0.215,-0.088,-0.086,0.843,0.776,0.803,0.758,0.21927,6.5869140625
adult,18,xgb,Baseline,Baseline,-0.182,-0.084,-0.072,-0.094,-0.033,-0.034,-0.217,-0.013,-0.042,0.864,0.809,0.833,0.792,0.18999,248.7138671875
adult,19,lr,Baseline,Baseline,-0.191,-0.132,-0.107,-0.1,-0.093,-0.061,-0.24,-0.221,-0.157,0.848,0.78,0.807,0.763,0.045687,6.7080078125
adult,19,rf,Baseline,Baseline,-0.195,-0.112,-0.098,-0.123,-0.124,-0.085,-0.247,-0.183,-0.14,0.854,0.791,0.812,0.776,1.197069,59091.1796875
adult,19,svm,Baseline,Baseline,-0.185,-0.127,-0.103,-0.097,-0.097,-0.061,-0.233,-0.207,-0.148,0.847,0.777,0.807,0.757,0.440638,6.5869140625
adult,19,xgb,Baseline,Baseline,-0.192,-0.106,-0.088,-0.116,-0.108,-0.071,-0.244,-0.155,-0.117,0.87,0.816,0.836,0.8,0.193288,259.47265625
adult,20,lr,Baseline,Baseline,-0.181,-0.073,-0.074,-0.099,-0.011,-0.027,-0.225,-0.081,-0.087,0.846,0.783,0.806,0.767,0.044396,6.7080078125
adult,20,rf,Baseline,Baseline,-0.189,-0.092,-0.084,-0.097,-0.027,-0.031,-0.229,-0.129,-0.107,0.854,0.794,0.816,0.778,1.217686,58598.5234375
adult,20,svm,Baseline,Baseline,-0.174,-0.058,-0.065,-0.098,-0.02,-0.03,-0.216,-0.05,-0.068,0.846,0.782,0.807,0.765,0.267172,6.5869140625
adult,20,xgb,Baseline,Baseline,-0.18,-0.047,-0.055,-0.094,-0.024,-0.025,-0.223,-0.059,-0.066,0.867,0.814,0.835,0.798,0.186228,259.8046875
adult,21,lr,Baseline,Baseline,-0.169,-0.047,-0.059,-0.095,-0.068,-0.052,-0.207,-0.032,-0.059,0.852,0.786,0.81,0.77,0.047532,6.7080078125
adult,21,rf,Baseline,Baseline,-0.18,-0.044,-0.063,-0.101,-0.049,-0.047,-0.235,-0.14,-0.123,0.852,0.79,0.806,0.777,1.210373,58658.8359375
adult,21,svm,Baseline,Baseline,-0.165,-0.033,-0.051,-0.094,-0.068,-0.052,-0.203,-0.025,-0.054,0.853,0.787,0.813,0.769,0.192072,6.5869140625
adult,21,xgb,Baseline,Baseline,-0.179,-0.049,-0.059,-0.094,-0.038,-0.036,-0.216,-0.063,-0.071,0.869,0.814,0.832,0.8,0.190292,253.830078125
adult,22,lr,Baseline,Baseline,-0.183,-0.084,-0.084,-0.108,-0.084,-0.063,-0.234,-0.168,-0.135,0.844,0.78,0.802,0.764,0.045518,6.7080078125
adult,22,rf,Baseline,Baseline,-0.187,-0.061,-0.075,-0.107,-0.067,-0.054,-0.24,-0.204,-0.154,0.849,0.788,0.807,0.774,1.189247,58614.3046875
adult,22,svm,Baseline,Baseline,-0.177,-0.071,-0.075,-0.103,-0.076,-0.057,-0.222,-0.135,-0.115,0.845,0.78,0.806,0.763,0.48071,6.5869140625
adult,22,xgb,Baseline,Baseline,-0.186,-0.091,-0.08,-0.096,-0.032,-0.029,-0.229,-0.175,-0.126,0.867,0.814,0.835,0.799,0.193082,254.759765625
adult,23,lr,Baseline,Baseline,-0.188,-0.107,-0.091,-0.1,-0.06,-0.046,-0.227,-0.118,-0.104,0.845,0.778,0.801,0.762,0.043127,6.7080078125
adult,23,rf,Baseline,Baseline,-0.198,-0.085,-0.087,-0.1,-0.024,-0.032,-0.244,-0.128,-0.118,0.844,0.78,0.797,0.767,1.183924,58430.8671875
adult,23,svm,Baseline,Baseline,-0.179,-0.081,-0.076,-0.096,-0.047,-0.04,-0.218,-0.082,-0.084,0.846,0.778,0.803,0.761,0.461042,6.5869140625
adult,23,xgb,Baseline,Baseline,-0.188,-0.064,-0.066,-0.102,-0.03,-0.031,-0.229,-0.085,-0.082,0.864,0.808,0.827,0.793,0.188605,254.2919921875
adult,24,lr,Baseline,Baseline,-0.181,-0.081,-0.078,-0.103,-0.082,-0.062,-0.224,-0.147,-0.121,0.851,0.784,0.812,0.766,0.043392,6.7080078125
adult,24,rf,Baseline,Baseline,-0.195,-0.062,-0.076,-0.105,-0.07,-0.057,-0.239,-0.135,-0.121,0.851,0.79,0.806,0.777,1.186417,58959.4609375
