dataset,iteration,model,type,sol_name,age_mean_diff,age_eq_opp_diff,age_avg_odds_diff,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
speedDating,25,rf,Baseline,Baseline,-0.084,-0.334,-0.167,0.003,0.044,0.022,-0.026,-0.086,-0.043,-0.148,nan,nan,0.948,0.89,0.971,0.841,0.50266,7470.1845703125
speedDating,25,svm,Baseline,Baseline,-0.063,0.0,-0.001,-0.009,0.0,-0.002,-0.019,0.0,-0.001,-0.215,nan,nan,0.998,0.997,0.995,0.999,4.793449,26.9375
speedDating,25,xgb,Baseline,Baseline,-0.062,0.0,0.0,-0.006,0.0,0.0,-0.017,0.0,0.0,-0.212,nan,nan,1.0,1.0,1.0,1.0,0.135391,102.6904296875
speedDating,26,lr,Baseline,Baseline,-0.101,0.0,-0.0,0.0,0.0,0.0,-0.049,0.0,-0.001,-0.224,nan,nan,1.0,0.999,0.999,1.0,0.036695,27.0615234375
speedDating,26,rf,Baseline,Baseline,-0.108,-0.404,-0.202,0.007,0.041,0.02,-0.055,-0.134,-0.067,-0.145,nan,nan,0.948,0.897,0.971,0.851,0.504403,7194.7099609375
speedDating,26,svm,Baseline,Baseline,-0.101,0.0,-0.0,0.002,0.0,0.001,-0.047,0.0,0.001,-0.224,nan,nan,0.999,0.998,0.997,0.999,2.849873,26.9375
speedDating,26,xgb,Baseline,Baseline,-0.101,0.0,0.0,-0.001,0.0,0.0,-0.048,0.0,0.0,-0.224,nan,nan,1.0,1.0,1.0,1.0,0.135305,102.6904296875
speedDating,27,lr,Baseline,Baseline,-0.085,0.0,-0.0,-0.018,0.004,0.003,0.012,0.007,0.003,0.001,0.0,0.0,0.999,0.999,0.999,0.999,0.036715,27.0615234375
speedDating,27,rf,Baseline,Baseline,-0.067,-0.075,-0.037,-0.002,0.07,0.035,-0.001,-0.048,-0.024,0.07,0.345,0.173,0.947,0.893,0.97,0.845,0.490955,7146.876953125
speedDating,27,svm,Baseline,Baseline,-0.087,0.0,-0.001,-0.017,0.0,0.002,0.016,0.0,0.002,0.001,0.0,0.0,0.998,0.997,0.995,0.999,2.434986,26.9375
speedDating,27,xgb,Baseline,Baseline,-0.085,0.0,0.0,-0.02,0.0,0.0,0.012,0.0,0.0,0.001,0.0,0.0,1.0,1.0,1.0,1.0,0.134097,102.6884765625
speedDating,28,lr,Baseline,Baseline,-0.019,0.003,0.002,-0.025,-0.001,-0.0,0.007,0.007,0.003,-0.04,0.0,0.0,0.999,0.999,1.0,0.998,0.037532,27.0615234375
speedDating,28,rf,Baseline,Baseline,-0.058,-0.286,-0.143,-0.016,-0.013,-0.006,-0.009,-0.083,-0.04,-0.144,-0.698,-0.349,0.936,0.864,0.961,0.81,0.518051,7621.6376953125
speedDating,28,svm,Baseline,Baseline,-0.02,0.0,0.0,-0.025,0.0,0.0,0.006,0.0,0.0,-0.04,0.0,0.0,1.0,1.0,1.0,1.0,1.52341,26.9375
speedDating,28,xgb,Baseline,Baseline,-0.02,0.0,0.0,-0.025,0.0,0.0,0.006,0.0,0.0,-0.04,0.0,0.0,1.0,1.0,1.0,1.0,0.13413,102.6904296875
speedDating,29,lr,Baseline,Baseline,-0.004,0.0,-0.0,0.001,0.0,0.0,-0.014,0.0,-0.001,-0.095,0.0,0.0,1.0,0.999,0.999,1.0,0.036336,27.0615234375
speedDating,29,rf,Baseline,Baseline,-0.062,-0.321,-0.161,-0.001,-0.007,-0.004,-0.023,-0.077,-0.038,-0.155,-0.754,-0.377,0.94,0.878,0.966,0.828,0.505988,7255.1611328125
speedDating,29,svm,Baseline,Baseline,-0.003,0.0,0.0,-0.0,0.0,0.0,-0.013,0.0,0.0,-0.095,0.0,0.0,1.0,1.0,1.0,1.0,4.648809,26.9375
speedDating,29,xgb,Baseline,Baseline,-0.003,0.0,0.0,-0.0,0.0,0.0,-0.013,0.0,0.0,-0.095,0.0,0.0,1.0,1.0,1.0,1.0,0.137984,102.6884765625
speedDating,30,lr,Baseline,Baseline,-0.075,0.003,0.001,0.002,-0.005,-0.002,-0.013,0.0,0.0,-0.051,0.0,0.0,0.999,0.998,0.997,0.998,0.037054,27.0615234375
speedDating,30,rf,Baseline,Baseline,-0.031,0.248,0.124,-0.012,-0.083,-0.041,-0.021,-0.065,-0.032,-0.016,0.161,0.081,0.957,0.908,0.976,0.863,0.481034,7049.9375
speedDating,30,svm,Baseline,Baseline,-0.075,0.0,0.0,0.001,0.0,0.0,-0.013,0.0,0.0,-0.051,0.0,0.0,1.0,1.0,1.0,1.0,3.273126,26.9375
speedDating,30,xgb,Baseline,Baseline,-0.075,0.0,0.0,0.001,0.0,0.0,-0.013,0.0,0.0,-0.051,0.0,0.0,1.0,1.0,1.0,1.0,0.131523,102.6904296875
