dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
heart_disease,25,lr,Baseline,Baseline,0.341,0.065,0.13,0.341,0.065,0.13,0.879,0.878,0.877,0.879,0.003764,2.0341796875
heart_disease,25,rf,Baseline,Baseline,0.341,0.139,0.137,0.341,0.139,0.137,0.835,0.833,0.832,0.834,0.058561,624.7412109375
heart_disease,25,svm,Baseline,Baseline,0.358,0.102,0.148,0.358,0.102,0.148,0.868,0.867,0.866,0.869,0.002891,1.9130859375
heart_disease,25,xgb,Baseline,Baseline,0.391,0.171,0.239,0.391,0.171,0.239,0.802,0.801,0.801,0.805,0.102629,112.095703125
heart_disease,26,lr,Baseline,Baseline,0.247,0.108,0.072,0.247,0.108,0.072,0.846,0.846,0.847,0.845,0.003703,2.0341796875
heart_disease,26,rf,Baseline,Baseline,0.247,0.203,0.09,0.247,0.203,0.09,0.802,0.802,0.803,0.801,0.047562,630.3662109375
heart_disease,26,svm,Baseline,Baseline,0.293,0.151,0.108,0.293,0.151,0.108,0.868,0.868,0.869,0.867,0.003063,1.9130859375
heart_disease,26,xgb,Baseline,Baseline,0.312,0.346,0.185,0.312,0.346,0.185,0.747,0.746,0.748,0.746,0.086899,112.0283203125
heart_disease,27,lr,Baseline,Baseline,0.39,0.149,0.236,0.39,0.149,0.236,0.791,0.789,0.788,0.789,0.003742,2.0341796875
heart_disease,27,rf,Baseline,Baseline,0.258,-0.006,0.115,0.258,-0.006,0.115,0.78,0.774,0.78,0.772,0.051288,612.2412109375
heart_disease,27,svm,Baseline,Baseline,0.39,0.149,0.236,0.39,0.149,0.236,0.791,0.789,0.788,0.789,0.003142,1.9130859375
heart_disease,27,xgb,Baseline,Baseline,0.404,0.152,0.223,0.404,0.152,0.223,0.824,0.819,0.826,0.816,0.09046,112.4248046875
heart_disease,28,lr,Baseline,Baseline,0.226,0.068,0.046,0.226,0.068,0.046,0.868,0.867,0.872,0.867,0.003712,2.0341796875
heart_disease,28,rf,Baseline,Baseline,0.24,0.077,0.091,0.24,0.077,0.091,0.824,0.819,0.85,0.82,0.061751,652.2412109375
heart_disease,28,svm,Baseline,Baseline,0.226,0.068,0.046,0.226,0.068,0.046,0.868,0.867,0.872,0.867,0.003799,1.9130859375
heart_disease,28,xgb,Baseline,Baseline,0.077,0.106,-0.103,0.077,0.106,-0.103,0.78,0.776,0.795,0.776,0.088453,114.220703125
heart_disease,29,lr,Baseline,Baseline,0.378,0.283,0.169,0.378,0.283,0.169,0.824,0.822,0.82,0.824,0.003695,2.0341796875
heart_disease,29,rf,Baseline,Baseline,0.341,0.243,0.133,0.341,0.243,0.133,0.824,0.821,0.821,0.821,0.047518,635.8349609375
heart_disease,29,svm,Baseline,Baseline,0.36,0.283,0.153,0.36,0.283,0.153,0.813,0.81,0.809,0.811,0.003139,1.9130859375
heart_disease,29,xgb,Baseline,Baseline,0.387,0.286,0.249,0.387,0.286,0.249,0.758,0.753,0.753,0.753,0.083684,113.9560546875
heart_disease,30,lr,Baseline,Baseline,0.4,0.129,0.138,0.4,0.129,0.138,0.857,0.857,0.856,0.859,0.003561,2.0341796875
heart_disease,30,rf,Baseline,Baseline,0.269,0.038,-0.026,0.269,0.038,-0.026,0.846,0.846,0.852,0.853,0.04764,628.4912109375
heart_disease,30,svm,Baseline,Baseline,0.4,0.129,0.138,0.4,0.129,0.138,0.857,0.857,0.856,0.859,0.003385,1.9130859375
heart_disease,30,xgb,Baseline,Baseline,0.215,-0.014,-0.064,0.215,-0.014,-0.064,0.824,0.824,0.83,0.831,0.101981,115.01953125
