dataset,iteration,model,type,sol_name,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
adult,19,svm,in,GF,-0.155,-0.107,-0.085,-0.094,-0.133,-0.079,-0.196,-0.165,-0.117,0.836,0.749,0.801,0.724,0.792751,6.5771484375
adult,19,xgb,in,GF,-0.157,-0.129,-0.096,-0.091,-0.126,-0.075,-0.197,-0.155,-0.114,0.835,0.745,0.801,0.719,0.195794,281.9833984375
adult,20,lr,in,GF,-0.149,-0.052,-0.056,-0.092,-0.053,-0.045,-0.194,-0.138,-0.107,0.833,0.752,0.797,0.729,0.035203,6.6748046875
adult,20,rf,in,GF,-0.146,-0.08,-0.068,-0.082,-0.032,-0.032,-0.188,-0.188,-0.128,0.831,0.744,0.799,0.719,0.85964,16387.666015625
adult,20,svm,in,GF,-0.15,-0.057,-0.058,-0.093,-0.06,-0.048,-0.195,-0.164,-0.119,0.833,0.751,0.795,0.728,0.762486,6.5771484375
adult,20,xgb,in,GF,-0.147,-0.054,-0.056,-0.081,-0.011,-0.022,-0.184,-0.103,-0.086,0.833,0.75,0.799,0.726,0.193438,283.84765625
adult,21,lr,in,GF,-0.144,-0.058,-0.058,-0.087,-0.121,-0.073,-0.176,-0.08,-0.073,0.838,0.753,0.802,0.729,0.035995,6.6748046875
adult,21,rf,in,GF,-0.14,-0.106,-0.079,-0.073,-0.102,-0.059,-0.164,-0.099,-0.078,0.834,0.741,0.799,0.715,0.872761,15810.478515625
adult,21,svm,in,GF,-0.145,-0.061,-0.06,-0.086,-0.112,-0.069,-0.176,-0.081,-0.074,0.838,0.753,0.8,0.729,0.770159,6.5771484375
adult,21,xgb,in,GF,-0.144,-0.084,-0.07,-0.083,-0.113,-0.068,-0.175,-0.116,-0.09,0.838,0.751,0.805,0.725,0.1925,277.9345703125
adult,22,lr,in,GF,-0.158,-0.101,-0.084,-0.101,-0.112,-0.074,-0.203,-0.2,-0.141,0.833,0.752,0.796,0.728,0.033555,6.6748046875
adult,22,rf,in,GF,-0.153,-0.133,-0.096,-0.084,-0.079,-0.052,-0.188,-0.223,-0.145,0.832,0.746,0.802,0.72,0.871255,17195.478515625
adult,22,svm,in,GF,-0.158,-0.094,-0.081,-0.1,-0.109,-0.072,-0.2,-0.179,-0.131,0.833,0.752,0.795,0.729,0.761138,6.5771484375
adult,22,xgb,in,GF,-0.16,-0.115,-0.091,-0.093,-0.086,-0.059,-0.198,-0.198,-0.138,0.834,0.752,0.798,0.728,0.200272,278.201171875
adult,23,lr,in,GF,-0.165,-0.119,-0.091,-0.092,-0.046,-0.041,-0.197,-0.119,-0.098,0.834,0.752,0.794,0.729,0.036067,6.6748046875
